"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","05.05.2025","07:45:00","05.05.2025","09:20:00","Ложь","Истина","05.05.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","19.05.2025","07:45:00","19.05.2025","09:20:00","Ложь","Истина","19.05.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","10.02.2025","09:30:00","10.02.2025","11:05:00","Ложь","Истина","10.02.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","17.02.2025","09:30:00","17.02.2025","11:05:00","Ложь","Истина","17.02.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","24.02.2025","09:30:00","24.02.2025","11:05:00","Ложь","Истина","24.02.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","03.03.2025","09:30:00","03.03.2025","11:05:00","Ложь","Истина","03.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","10.03.2025","09:30:00","10.03.2025","11:05:00","Ложь","Истина","10.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","17.03.2025","09:30:00","17.03.2025","11:05:00","Ложь","Истина","17.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","24.03.2025","09:30:00","24.03.2025","11:05:00","Ложь","Истина","24.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Пз DL ВПВПС-24-1","31.03.2025","09:30:00","31.03.2025","11:05:00","Ложь","Истина","31.03.2025","09:25:00","2","Обычная","ІКГ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","07.04.2025","09:30:00","07.04.2025","11:05:00","Ложь","Истина","07.04.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Пз DL ВПВПС-24-1","14.04.2025","09:30:00","14.04.2025","11:05:00","Ложь","Истина","14.04.2025","09:25:00","2","Обычная","ІКГ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","21.04.2025","09:30:00","21.04.2025","11:05:00","Ложь","Истина","21.04.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","28.04.2025","09:30:00","28.04.2025","11:05:00","Ложь","Истина","28.04.2025","09:25:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - Фіз Лк DL ВПВПС-24-1,2","05.05.2025","09:30:00","05.05.2025","11:05:00","Ложь","Истина","05.05.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","19.05.2025","09:30:00","19.05.2025","11:05:00","Ложь","Истина","19.05.2025","09:25:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІКГ Пз DL ВПВПС-24-1","02.06.2025","09:30:00","02.06.2025","11:05:00","Ложь","Истина","02.06.2025","09:25:00","2","Обычная","ІКГ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","10.02.2025","09:30:00","10.02.2025","11:05:00","Ложь","Истина","10.02.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","17.02.2025","09:30:00","17.02.2025","11:05:00","Ложь","Истина","17.02.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","24.02.2025","09:30:00","24.02.2025","11:05:00","Ложь","Истина","24.02.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","03.03.2025","09:30:00","03.03.2025","11:05:00","Ложь","Истина","03.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","10.03.2025","09:30:00","10.03.2025","11:05:00","Ложь","Истина","10.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","17.03.2025","09:30:00","17.03.2025","11:05:00","Ложь","Истина","17.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","24.03.2025","09:30:00","24.03.2025","11:05:00","Ложь","Истина","24.03.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","07.04.2025","09:30:00","07.04.2025","11:05:00","Ложь","Истина","07.04.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лб DL ВПВПС-24-2","14.04.2025","09:30:00","14.04.2025","11:05:00","Ложь","Истина","14.04.2025","09:25:00","2","Обычная","Фіз Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","21.04.2025","09:30:00","21.04.2025","11:05:00","Ложь","Истина","21.04.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - Фіз Лк DL ВПВПС-24-1,2","05.05.2025","09:30:00","05.05.2025","11:05:00","Ложь","Истина","05.05.2025","09:25:00","2","Обычная","Фіз Лк DL ВПВПС-24-1,2","Обычный"
"ІТУ-24-1 - Фіз Лк DL ІТУ-24-1","10.02.2025","09:30:00","10.02.2025","11:05:00","Ложь","Истина","10.02.2025","09:25:00","2","Обычная","Фіз Лк DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","10.03.2025","09:30:00","10.03.2025","11:05:00","Ложь","Истина","10.03.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","24.03.2025","09:30:00","24.03.2025","11:05:00","Ложь","Истина","24.03.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","31.03.2025","09:30:00","31.03.2025","11:05:00","Ложь","Истина","31.03.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","21.04.2025","09:30:00","21.04.2025","11:05:00","Ложь","Истина","21.04.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","05.05.2025","09:30:00","05.05.2025","11:05:00","Ложь","Истина","05.05.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","19.05.2025","09:30:00","19.05.2025","11:05:00","Ложь","Истина","19.05.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","02.06.2025","09:30:00","02.06.2025","11:05:00","Ложь","Истина","02.06.2025","09:25:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","10.02.2025","11:15:00","10.02.2025","12:50:00","Ложь","Истина","10.02.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","17.02.2025","11:15:00","17.02.2025","12:50:00","Ложь","Истина","17.02.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","24.02.2025","11:15:00","24.02.2025","12:50:00","Ложь","Истина","24.02.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","03.03.2025","11:15:00","03.03.2025","12:50:00","Ложь","Истина","03.03.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","10.03.2025","11:15:00","10.03.2025","12:50:00","Ложь","Истина","10.03.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","17.03.2025","11:15:00","17.03.2025","12:50:00","Ложь","Истина","17.03.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","24.03.2025","11:15:00","24.03.2025","12:50:00","Ложь","Истина","24.03.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","31.03.2025","11:15:00","31.03.2025","12:50:00","Ложь","Истина","31.03.2025","11:10:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","07.04.2025","11:15:00","07.04.2025","12:50:00","Ложь","Истина","07.04.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","14.04.2025","11:15:00","14.04.2025","12:50:00","Ложь","Истина","14.04.2025","11:10:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","21.04.2025","11:15:00","21.04.2025","12:50:00","Ложь","Истина","21.04.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ОГД Пз DL ВПВПС-24-1","28.04.2025","11:15:00","28.04.2025","12:50:00","Ложь","Истина","28.04.2025","11:10:00","2","Обычная","ОГД Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","05.05.2025","11:15:00","05.05.2025","12:50:00","Ложь","Истина","05.05.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","19.05.2025","11:15:00","19.05.2025","12:50:00","Ложь","Истина","19.05.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","10.02.2025","11:15:00","10.02.2025","12:50:00","Ложь","Истина","10.02.2025","11:10:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","17.02.2025","11:15:00","17.02.2025","12:50:00","Ложь","Истина","17.02.2025","11:10:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ВМ Пз DL ВПВПС-24-2","24.02.2025","11:15:00","24.02.2025","12:50:00","Ложь","Истина","24.02.2025","11:10:00","2","Обычная","ВМ Пз DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","03.03.2025","11:15:00","03.03.2025","12:50:00","Ложь","Истина","03.03.2025","11:10:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ВМ Пз DL ВПВПС-24-2","10.03.2025","11:15:00","10.03.2025","12:50:00","Ложь","Истина","10.03.2025","11:10:00","2","Обычная","ВМ Пз DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","17.03.2025","11:15:00","17.03.2025","12:50:00","Ложь","Истина","17.03.2025","11:10:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","24.03.2025","11:15:00","24.03.2025","12:50:00","Ложь","Истина","24.03.2025","11:10:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","31.03.2025","11:15:00","31.03.2025","12:50:00","Ложь","Истина","31.03.2025","11:10:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ВМ Пз DL ВПВПС-24-2","07.04.2025","11:15:00","07.04.2025","12:50:00","Ложь","Истина","07.04.2025","11:10:00","2","Обычная","ВМ Пз DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","14.04.2025","11:15:00","14.04.2025","12:50:00","Ложь","Истина","14.04.2025","11:10:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","21.04.2025","11:15:00","21.04.2025","12:50:00","Ложь","Истина","21.04.2025","11:10:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","05.05.2025","11:15:00","05.05.2025","12:50:00","Ложь","Истина","05.05.2025","11:10:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ІТУ-24-1 - МатАн Лк DL ІТУ-24-1","10.02.2025","11:15:00","10.02.2025","12:50:00","Ложь","Истина","10.02.2025","11:10:00","2","Обычная","МатАн Лк DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - МатАн Лк 610і ІТУ-24-1","21.04.2025","11:15:00","21.04.2025","12:50:00","Ложь","Истина","21.04.2025","11:10:00","2","Обычная","МатАн Лк 610і ІТУ-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","10.02.2025","13:10:00","10.02.2025","14:45:00","Ложь","Истина","10.02.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","17.02.2025","13:10:00","17.02.2025","14:45:00","Ложь","Истина","17.02.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","24.02.2025","13:10:00","24.02.2025","14:45:00","Ложь","Истина","24.02.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","03.03.2025","13:10:00","03.03.2025","14:45:00","Ложь","Истина","03.03.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","10.03.2025","13:10:00","10.03.2025","14:45:00","Ложь","Истина","10.03.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","17.03.2025","13:10:00","17.03.2025","14:45:00","Ложь","Истина","17.03.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","24.03.2025","13:10:00","24.03.2025","14:45:00","Ложь","Истина","24.03.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","31.03.2025","13:10:00","31.03.2025","14:45:00","Ложь","Истина","31.03.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","07.04.2025","13:10:00","07.04.2025","14:45:00","Ложь","Истина","07.04.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","21.04.2025","13:10:00","21.04.2025","14:45:00","Ложь","Истина","21.04.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ОГД Пз DL ВПВПС-24-1","28.04.2025","13:10:00","28.04.2025","14:45:00","Ложь","Истина","28.04.2025","13:05:00","2","Обычная","ОГД Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","05.05.2025","13:10:00","05.05.2025","14:45:00","Ложь","Истина","05.05.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","19.05.2025","13:10:00","19.05.2025","14:45:00","Ложь","Истина","19.05.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІМ Пз DL, DL_1 ВПВПС-24-1","02.06.2025","13:10:00","02.06.2025","14:45:00","Ложь","Истина","02.06.2025","13:05:00","2","Обычная","ІМ Пз DL, DL_1 ВПВПС-24-1","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","10.02.2025","13:10:00","10.02.2025","14:45:00","Ложь","Истина","10.02.2025","13:05:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","17.02.2025","13:10:00","17.02.2025","14:45:00","Ложь","Истина","17.02.2025","13:05:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","03.03.2025","13:10:00","03.03.2025","14:45:00","Ложь","Истина","03.03.2025","13:05:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","17.03.2025","13:10:00","17.03.2025","14:45:00","Ложь","Истина","17.03.2025","13:05:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","24.03.2025","13:10:00","24.03.2025","14:45:00","Ложь","Истина","24.03.2025","13:05:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","31.03.2025","13:10:00","31.03.2025","14:45:00","Ложь","Истина","31.03.2025","13:05:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ОГД Лб DL ВПВПС-24-2","14.04.2025","13:10:00","14.04.2025","14:45:00","Ложь","Истина","14.04.2025","13:05:00","2","Обычная","ОГД Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","21.04.2025","13:10:00","21.04.2025","14:45:00","Ложь","Истина","21.04.2025","13:05:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-2 - ІКГ Лб DL ВПВПС-24-2","05.05.2025","13:10:00","05.05.2025","14:45:00","Ложь","Истина","05.05.2025","13:05:00","2","Обычная","ІКГ Лб DL ВПВПС-24-2","Обычный"
"ВПВПС-24-1 - ФВ Пз DL ВПВПС-24-1","11.02.2025","11:15:00","11.02.2025","12:50:00","Ложь","Истина","11.02.2025","11:10:00","2","Обычная","ФВ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ФВ Пз DL ВПВПС-24-1","18.02.2025","11:15:00","18.02.2025","12:50:00","Ложь","Истина","18.02.2025","11:10:00","2","Обычная","ФВ Пз DL ВПВПС-24-1","Обычный"
